State,Year,Median AQI
AK,2017,35
AK,2017,39
AK,2017,14
AL,2017,51
AL,2017,41
AL,2017,40
AL,2017,38
AL,2017,41
AL,2017,40
AL,2017,45
AL,2017,42
AL,2017,41
AL,2017,43
AL,2017,30
AL,2017,46
AR,2017,35
AR,2017,39
AR,2017,39
AR,2017,34
AR,2017,44
AR,2017,45
MO,2017,45
AR,2017,38
OK,2017,38
AZ,2017,47
AZ,2017,16
AZ,2017,30
AZ,2017,85
AZ,2017,67
AZ,2017,48
AZ,2017,46
AZ,2017,46
AZ,2017,54
AZ,2017,45
CA,2017,51
CA,2017,48
CA,2017,22
CA,2017,35
CA,2017,7
CA,2017,54
CA,2017,37
CA,2017,64
CA,2017,61
CA,2017,67
CA,2017,51
CA,2017,46
CA,2017,44
CA,2017,40
CA,2017,51
CA,2017,37
CA,2017,45
CA,2017,84
CA,2017,54
CA,2017,39
CA,2017,64
CA,2017,47
CA,2017,44
CA,2017,47
CA,2017,35
CA,2017,41
CA,2017,36
CA,2017,40
CA,2017,54
CA,2017,36
CA,2017,43
CA,2017,68
CA,2017,21
CO,2017,48
CO,2017,11
CO,2017,49
CO,2017,46
CO,2017,66
CO,2017,47
CO,2017,51
CO,2017,44
CO,2017,46
CO,2017,49
CO,2017,43
CO,2017,20
CO,2017,15
CT,2017,42
CT,2017,42
CT,2017,42
CT,2017,38
CT,2017,39
DC,2017,50
VA,2017,50
MD,2017,50
WV,2017,50
DE,2017,41
FL,2017,43
FL,2017,39
FL,2017,43
FL,2017,42
FL,2017,36
FL,2017,46
FL,2017,42
FL,2017,44
FL,2017,48
FL,2017,41
FL,2017,45
FL,2017,42
FL,2017,49
FL,2017,16
FL,2017,43
FL,2017,42
FL,2017,45
FL,2017,43
FL,2017,39
FL,2017,38
FL,2017,46
FL,2017,49
GA,2017,38
GA,2017,37
GA,2017,40
GA,2017,51
GA,2017,35
GA,2017,42
GA,2017,29
GA,2017,37
GA,2017,39
GA,2017,41
GA,2017,38
GA,2017,37
GA,2017,40
GA,2017,35
GA,2017,42
AL,2017,42
GA,2017,44
SC,2017,44
HI,2017,135
HI,2017,21
HI,2017,12
HI,2017,31
IA,2017,40
IA,2017,52
IA,2017,41
IA,2017,32
IA,2017,15
IA,2017,39
IA,2017,46
IA,2017,52
IL,2017,52
IA,2017,33
IL,2017,33
MO,2017,33
IA,2017,40
NE,2017,40
SD,2017,40
ID,2017,43
ID,2017,13
ID,2017,5
ID,2017,43
ID,2017,10
ID,2017,34
ID,2017,20
ID,2017,26
ID,2017,26
WA,2017,26
IL,2017,41
IL,2017,42
IL,2017,43
IL,2017,44
IL,2017,43
IL,2017,1
IL,2017,44
IL,2017,38
IL,2017,41
IL,2017,54
IN,2017,54
WI,2017,54
IL,2017,43
MO,2017,43
IN,2017,39
IN,2017,39
IN,2017,39
IN,2017,44
IN,2017,40
IN,2017,47
IN,2017,4
IN,2017,34
IN,2017,43
IN,2017,43
IN,2017,40
IN,2017,28
IN,2017,41
IN,2017,43
IN,2017,39
IN,2017,38
IN,2017,6
IN,2017,44
KY,2017,44
IN,2017,43
MI,2017,43
KS,2017,13
KS,2017,12
KS,2017,37
KS,2017,42
KY,2017,42
KY,2017,39
KY,2017,36
KY,2017,42
KY,2017,40
KY,2017,30
KY,2017,39
KY,2017,40
IL,2017,40
KY,2017,45
IN,2017,45
LA,2017,27
LA,2017,46
LA,2017,30
LA,2017,37
LA,2017,39
LA,2017,45
LA,2017,35
LA,2017,45
LA,2017,41
MA,2017,38
MA,2017,35
MA,2017,35
MA,2017,41
MA,2017,39
MA,2017,39
CT,2017,39
MA,2017,53
NH,2017,53
MD,2017,46
MD,2017,41
MD,2017,42
DE,2017,42
MD,2017,20
WV,2017,20
MD,2017,43
WV,2017,43
ME,2017,33
ME,2017,33
ME,2017,39
ME,2017,38
ME,2017,35
MI,2017,40
MI,2017,40
MI,2017,25
MI,2017,38
MI,2017,50
MI,2017,39
MI,2017,40
MI,2017,40
MI,2017,7
MI,2017,41
MI,2017,38
MI,2017,39
MI,2017,6
MI,2017,41
MI,2017,40
MI,2017,35
MI,2017,40
MN,2017,20
MN,2017,36
MN,2017,37
MN,2017,39
MN,2017,41
MN,2017,36
MN,2017,31
MN,2017,36
WI,2017,36
MN,2017,52
WI,2017,52
MO,2017,39
MO,2017,43
MO,2017,42
MO,2017,38
MO,2017,40
MO,2017,52
IL,2017,52
MO,2017,48
KS,2017,48
MO,2017,44
KS,2017,44
MS,2017,39
MS,2017,28
MS,2017,41
MS,2017,32
MS,2017,42
MS,2017,39
MS,2017,40
MT,2017,25
MT,2017,21
MT,2017,32
MT,2017,33
MT,2017,46
MT,2017,39
MT,2017,58
NC,2017,44
NC,2017,29
NC,2017,42
NC,2017,43
NC,2017,41
NC,2017,39
NC,2017,42
NC,2017,33
NC,2017,38
NC,2017,44
NC,2017,45
NC,2017,35
NC,2017,41
NC,2017,1
NC,2017,35
NC,2017,44
NC,2017,47
SC,2017,47
ND,2017,40
ND,2017,40
ND,2017,6
ND,2017,37
ND,2017,38
ND,2017,39
MN,2017,39
NE,2017,20
NE,2017,33
NE,2017,20
NE,2017,47
IA,2017,47
NH,2017,34
NH,2017,36
NH,2017,33
NH,2017,38
NH,2017,44
VT,2017,44
NH,2017,35
VT,2017,35
NJ,2017,38
NJ,2017,41
NJ,2017,39
NM,2017,51
NM,2017,49
NM,2017,20
NM,2017,47
NM,2017,50
NM,2017,49
NM,2017,64
NM,2017,4
NM,2017,7
NM,2017,3
NM,2017,46
NM,2017,10
NV,2017,46
NV,2017,16
NV,2017,46
NV,2017,44
NV,2017,17
NV,2017,53
NV,2017,16
NV,2017,50
NY,2017,39
NY,2017,40
NY,2017,34
NY,2017,37
NY,2017,38
NY,2017,0
NY,2017,17
NY,2017,40
NY,2017,0
NY,2017,38
NY,2017,32
NY,2017,35
NY,2017,53
NJ,2017,53
PA,2017,53
OH,2017,42
OH,2017,37
OH,2017,25
OH,2017,44
OH,2017,48
OH,2017,43
OH,2017,43
OH,2017,39
OH,2017,41
OH,2017,39
OH,2017,14
OH,2017,3
OH,2017,42
OH,2017,43
OH,2017,39
OH,2017,43
OH,2017,51
KY,2017,51
IN,2017,51
OH,2017,50
PA,2017,50
OK,2017,47
OK,2017,44
OK,2017,41
OK,2017,0
OK,2017,42
OK,2017,41
OK,2017,41
OK,2017,17
OK,2017,48
OK,2017,47
OK,2017,40
OK,2017,51
OK,2017,18
OR,2017,37
OR,2017,19
OR,2017,18
OR,2017,9
OR,2017,22
OR,2017,19
OR,2017,31
WA,2017,31
PA,2017,44
PA,2017,36
PA,2017,40
PA,2017,43
PA,2017,38
PA,2017,42
PA,2017,44
PA,2017,41
PA,2017,45
PA,2017,46
PA,2017,44
PA,2017,37
PA,2017,57
PA,2017,45
PA,2017,39
PA,2017,40
PA,2017,39
PA,2017,39
PA,2017,41
PA,2017,11
PA,2017,37
PA,2017,46
PA,2017,52
NJ,2017,52
PA,2017,54
NJ,2017,54
DE,2017,54
MD,2017,54
PR,2017,20
PR,2017,1
PR,2017,3
PR,2017,26
PR,2017,42
RI,2017,43
MA,2017,43
SC,2017,40
SC,2017,44
SC,2017,40
SC,2017,15
SC,2017,44
SC,2017,25
SC,2017,39
SC,2017,43
SC,2017,38
SC,2017,35
NC,2017,35
SD,2017,20
SD,2017,38
SD,2017,13
SD,2017,44
SD,2017,39
SD,2017,30
TN,2017,28
TN,2017,23
TN,2017,29
TN,2017,23
TN,2017,45
TN,2017,25
TN,2017,44
TN,2017,44
TN,2017,44
TN,2017,45
GA,2017,45
TN,2017,42
KY,2017,42
TN,2017,44
MS,2017,44
AR,2017,44
TN,2017,47
VA,2017,47
TX,2017,47
TX,2017,42
TX,2017,45
TX,2017,17
TX,2017,23
TX,2017,38
TX,2017,0
TX,2017,43
TX,2017,41
TX,2017,49
TX,2017,30
TX,2017,53
TX,2017,50
TX,2017,40
TX,2017,35
TX,2017,40
TX,2017,36
TX,2017,23
TX,2017,39
TX,2017,41
TX,2017,1
TX,2017,27
TX,2017,44
TX,2017,37
TX,2017,35
TX,2017,38
TX,2017,33
AR,2017,33
UT,2017,51
UT,2017,48
UT,2017,53
UT,2017,54
UT,2017,45
UT,2017,48
UT,2017,46
ID,2017,46
VA,2017,50
VA,2017,38
VA,2017,36
VA,2017,26
VA,2017,41
VA,2017,37
VA,2017,40
NC,2017,40
VA,2017,38
WV,2017,38
VT,2017,38
VT,2017,37
VT,2017,40
WA,2017,18
WA,2017,37
WA,2017,13
WA,2017,16
WA,2017,24
WA,2017,35
WA,2017,16
WA,2017,18
WA,2017,33
WA,2017,27
WA,2017,10
WA,2017,38
WA,2017,14
WA,2017,46
WA,2017,16
WA,2017,43
WA,2017,16
WA,2017,23
WA,2017,28
WI,2017,40
WI,2017,39
WI,2017,39
WI,2017,39
WI,2017,39
WI,2017,40
WI,2017,41
WI,2017,42
WI,2017,39
WI,2017,43
WI,2017,23
WI,2017,42
WI,2017,41
WI,2017,40
WI,2017,39
WI,2017,40
WI,2017,39
MN,2017,39
WV,2017,41
WV,2017,27
WV,2017,28
WV,2017,37
WV,2017,37
WV,2017,40
KY,2017,40
OH,2017,40
WV,2017,9
OH,2017,9
WV,2017,49
OH,2017,49
WV,2017,48
OH,2017,48
WY,2017,44
WY,2017,45
WY,2017,44
WY,2017,39
WY,2017,50
WY,2017,48
WY,2017,44
WY,2017,41
WY,2017,45
ID,2017,45
