State,Year,Median AQI
SD,2001,31
MI,2001,46
PR,2001,21
OH,2001,73
NM,2001,16
GA,2001,11
OR,2001,27
NY,2001,43
MN,2001,45
NM,2001,55
LA,2001,42
MN,2001,24
PA,2001,60
NJ,2001,60
MI,2001,27
PA,2001,45
TX,2001,28
GA,2001,45
IA,2001,33
AK,2001,30
MI,2001,47
WI,2001,42
OK,2001,48
NC,2001,56
OH,2001,37
OH,2001,45
TN,2001,37
GA,2001,59
GA,2001,71
NJ,2001,39
IN,2001,16
GA,2001,48
SC,2001,48
ME,2001,38
TX,2001,48
CA,2001,108
MD,2001,69
ME,2001,41
WI,2001,43
MA,2001,39
VT,2001,36
LA,2001,63
MI,2001,18
MI,2001,38
TX,2001,61
WI,2001,40
WV,2001,49
WA,2001,31
OR,2001,25
VT,2001,43
NH,2001,38
VT,2001,38
MT,2001,60
NY,2001,37
AL,2001,79
CA,2001,58
ND,2001,46
ID,2001,23
IL,2001,42
IN,2001,54
WV,2001,45
VA,2001,45
AR,2001,48
ID,2001,44
NC,2001,35
MA,2001,61
NH,2001,61
CO,2001,41
KY,2001,46
MT,2001,6
MN,2001,23
MO,2001,34
CO,2001,17
WA,2001,29
CT,2001,49
SD,2001,33
TN,2001,46
TX,2001,36
GA,2001,41
NY,2001,59
ID,2001,23
NC,2001,52
VT,2001,37
MT,2001,21
MI,2001,43
OH,2001,47
FL,2001,36
IL,2001,17
NM,2001,44
NV,2001,43
WY,2001,16
CO,2001,13
IA,2001,50
KY,2001,48
WA,2001,7
PA,2001,64
IL,2001,35
WV,2001,51
SC,2001,52
NC,2001,64
SC,2001,64
VA,2001,14
TN,2001,54
GA,2001,54
WY,2001,20
IL,2001,84
IN,2001,84
WI,2001,84
CA,2001,56
OH,2001,79
KY,2001,79
IN,2001,79
NH,2001,31
VT,2001,31
WV,2001,52
TN,2001,51
KY,2001,51
CA,2001,37
MS,2001,46
TN,2001,32
OH,2001,79
IA,2001,38
ID,2001,19
KS,2001,19
CO,2001,46
SC,2001,55
GA,2001,50
AL,2001,50
IN,2001,19
MS,2001,53
OH,2001,64
NH,2001,39
TN,2001,50
MS,2001,48
NY,2001,36
TX,2001,40
OR,2001,23
CA,2001,14
NC,2001,56
TX,2001,71
GA,2001,47
AL,2001,43
IA,2001,55
IL,2001,55
OH,2001,61
LA,2001,36
AL,2001,48
IL,2001,43
FL,2001,38
NM,2001,16
CO,2001,66
IA,2001,45
MI,2001,76
ND,2001,36
KS,2001,16
AL,2001,52
DE,2001,49
PA,2001,46
MN,2001,32
WI,2001,32
CO,2001,38
NC,2001,58
TN,2001,47
CO,2001,12
IL,2001,44
CA,2001,65
AR,2001,14
TX,2001,59
NC,2001,46
KY,2001,50
IN,2001,41
NV,2001,19
WA,2001,18
NY,2001,35
OK,2001,27
PA,2001,53
MI,2001,0
NM,2001,10
OR,2001,46
CA,2001,6
IN,2001,85
KY,2001,85
AK,2001,31
WV,2001,54
ND,2001,36
MN,2001,36
NM,2001,51
NC,2001,45
AR,2001,47
MO,2001,47
OH,2001,23
AZ,2001,46
MI,2001,38
SC,2001,44
AL,2001,11
WI,2001,42
CO,2001,44
IA,2001,20
IL,2001,20
MO,2001,20
AL,2001,53
AR,2001,52
OK,2001,52
IN,2001,41
KY,2001,51
OH,2001,21
CA,2001,119
AL,2001,53
SC,2001,44
FL,2001,42
GA,2001,56
NV,2001,45
SC,2001,31
PA,2001,51
WY,2001,47
CO,2001,19
NC,2001,53
ND,2001,29
MN,2001,29
NE,2001,33
CO,2001,25
MI,2001,54
OR,2001,28
MT,2001,24
CO,2001,40
WI,2001,39
TN,2001,22
NC,2001,58
NC,2001,47
SC,2001,58
SC,2001,51
PR,2001,23
MS,2001,53
MD,2001,54
WV,2001,54
LA,2001,44
CA,2001,56
PA,2001,61
AR,2001,43
VA,2001,9
CT,2001,50
MS,2001,51
MT,2001,24
AR,2001,50
OR,2001,25
NC,2001,57
HI,2001,25
SC,2001,44
NM,2001,25
MI,2001,48
FL,2001,38
AR,2001,54
MI,2001,15
LA,2001,46
TX,2001,67
NY,2001,10
IN,2001,46
WV,2001,72
KY,2001,72
OH,2001,72
AL,2001,44
ID,2001,39
IN,2001,70
IA,2001,39
MI,2001,39
WI,2001,39
NY,2001,27
MS,2001,43
TN,2001,51
WY,2001,45
ID,2001,45
FL,2001,58
NC,2001,40
NY,2001,61
WI,2001,47
IN,2001,41
PA,2001,49
AR,2001,52
MO,2001,51
AK,2001,17
HI,2001,20
MI,2001,49
MT,2001,35
MO,2001,60
KS,2001,60
NH,2001,36
WA,2001,23
AK,2001,16
FL,2001,16
TN,2001,93
VA,2001,93
NY,2001,39
NC,2001,46
OR,2001,25
TN,2001,87
IN,2001,55
OR,2001,23
NH,2001,43
LA,2001,38
IN,2001,51
LA,2001,47
FL,2001,36
AZ,2001,24
FL,2001,42
PA,2001,45
MI,2001,41
WY,2001,19
TX,2001,35
NM,2001,58
NV,2001,70
MS,2001,54
TN,2001,47
OK,2001,43
ID,2001,17
WA,2001,17
ME,2001,11
NE,2001,34
KY,2001,48
OH,2001,32
NE,2001,31
AR,2001,58
UT,2001,44
ID,2001,44
KY,2001,19
TX,2001,44
WA,2001,22
NM,2001,11
CA,2001,101
KY,2001,84
IN,2001,84
TX,2001,28
MI,2001,42
NC,2001,51
VA,2001,49
GA,2001,47
CA,2001,46
IN,2001,19
WI,2001,43
NY,2001,10
NH,2001,40
WI,2001,43
MN,2001,32
OH,2001,44
NC,2001,53
TX,2001,43
IA,2001,34
PR,2001,32
KY,2001,39
OK,2001,43
TX,2001,38
OR,2001,45
TN,2001,65
MS,2001,65
AR,2001,65
CA,2001,61
MS,2001,46
OK,2001,43
FL,2001,46
IN,2001,38
KY,2001,45
WI,2001,57
MN,2001,55
WI,2001,55
MT,2001,32
AL,2001,43
CA,2001,50
LA,2001,40
MI,2001,52
AL,2001,48
CO,2001,23
LA,2001,34
WV,2001,47
TN,2001,54
IL,2001,44
OH,2001,48
WA,2001,27
ID,2001,46
