CBSA,State,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Toledo, OH,45780,2017,273,199,70,4,0,0,0,126,71,43,0,0,175,0,98,0
Washington Court House, OH,47920,2017,238,215,22,1,0,0,0,115,50,39,0,0,238,0,0,0
Wilmington, OH,48940,2017,214,176,35,3,0,0,0,143,61,43,0,0,214,0,0,0
Cincinnati, OH-KY-IN,17140,2017,273,130,134,9,0,0,0,129,80,51,0,11,133,2,126,1
Youngstown-Warren-Boardman, OH-PA,49660,2017,273,148,124,1,0,0,0,115,67,50,0,0,103,0,170,0
Ardmore, OK,11620,2017,233,158,68,6,1,0,0,151,71,47,0,0,161,0,72,0
Bartlesville, OK,12780,2017,273,192,79,2,0,0,0,108,62,44,0,0,181,0,92,0
Durant, OK,20460,2017,202,174,28,0,0,0,0,87,54,41,0,0,202,0,0,0
Enid, OK,21420,2017,264,251,12,1,0,0,0,101,29,0,0,0,0,264,0,0
Lawton, OK,30020,2017,273,221,51,1,0,0,0,115,58,42,0,0,199,0,74,0
McAlester, OK,32540,2017,269,207,62,0,0,0,0,100,60,41,0,0,175,0,94,0
Miami, OK,33060,2017,270,222,48,0,0,0,0,93,56,41,0,0,160,0,110,0
Muskogee, OK,34780,2017,267,255,12,0,0,0,0,91,38,17,0,0,0,110,0,157
Oklahoma City, OK,36420,2017,273,164,102,7,0,0,0,119,77,48,0,10,184,0,79,0
Ponca City, OK,38620,2017,273,166,107,0,0,0,0,90,62,47,0,0,91,1,181,0
Tahlequah, OK,45140,2017,212,195,17,0,0,0,0,71,50,40,0,0,212,0,0,0
Tulsa, OK,46140,2017,273,132,139,2,0,0,0,108,74,51,0,0,154,0,119,0
Weatherford, OK,48220,2017,218,216,2,0,0,0,0,88,31,18,0,0,0,0,0,218
Eugene, OR,21660,2017,273,193,56,12,9,2,1,380,92,37,0,0,94,0,176,3
Grants Pass, OR,24420,2017,33,29,4,0,0,0,0,75,51,19,0,0,0,0,33,0
Klamath Falls, OR,28900,2017,61,57,4,0,0,0,0,92,38,18,0,0,0,0,61,0
La Grande, OR,29260,2017,32,32,0,0,0,0,0,49,16,9,0,0,0,0,6,26
Medford, OR,32780,2017,61,50,11,0,0,0,0,86,67,22,0,0,0,0,61,0
Prineville, OR,39260,2017,54,49,5,0,0,0,0,94,39,19,0,0,0,0,54,0
Portland-Vancouver-Hillsboro, OR-WA,38900,2017,212,184,26,2,0,0,0,101,53,31,0,0,86,0,126,0
Altoona, PA,11020,2017,179,132,47,0,0,0,0,88,61,44,0,0,106,0,73,0
Chambersburg-Waynesboro, PA,16540,2017,180,177,3,0,0,0,0,67,46,36,0,0,180,0,0,0
DuBois, PA,20180,2017,177,153,24,0,0,0,0,84,54,40,0,0,177,0,0,0
East Stroudsburg, PA,20700,2017,180,137,43,0,0,0,0,100,62,43,0,0,118,0,62,0
Erie, PA,21500,2017,181,154,27,0,0,0,0,84,55,38,0,0,132,0,49,0
Gettysburg, PA,23900,2017,242,191,51,0,0,0,0,90,54,42,0,0,200,0,42,0
Harrisburg-Carlisle, PA,25420,2017,181,127,54,0,0,0,0,93,64,44,0,0,93,0,88,0
Indiana, PA,26860,2017,175,153,21,1,0,0,0,104,58,41,0,0,170,5,0,0
Johnstown, PA,27780,2017,181,119,62,0,0,0,0,85,64,45,0,0,91,0,90,0
Lancaster, PA,29540,2017,181,111,68,2,0,0,0,112,68,46,0,0,84,0,97,0
Lebanon, PA,30140,2017,181,119,62,0,0,0,0,90,64,44,0,0,102,0,79,0
New Castle, PA,35260,2017,180,163,17,0,0,0,0,90,50,37,0,0,179,1,0,0
Pittsburgh, PA,38300,2017,304,95,190,19,0,0,0,140,90,57,0,0,124,19,161,0
Reading, PA,39740,2017,181,113,64,4,0,0,0,122,70,45,0,0,106,0,75,0
Sayre, PA,42380,2017,178,149,29,0,0,0,0,74,54,39,0,0,116,0,62,0
Scranton--Wilkes-Barre--Hazleton, PA,42540,2017,181,154,27,0,0,0,0,84,54,40,0,0,145,0,36,0
Somerset, PA,43740,2017,241,221,20,0,0,0,0,97,50,39,0,0,241,0,0,0
St. Marys, PA,41260,2017,232,216,16,0,0,0,0,90,49,39,0,0,232,0,0,0
State College, PA,44300,2017,242,211,31,0,0,0,0,100,54,41,0,0,223,0,19,0
Warren, PA,47620,2017,90,89,1,0,0,0,0,85,29,11,0,0,0,90,0,0
Williamsport, PA,48700,2017,174,160,14,0,0,0,0,84,47,37,0,0,174,0,0,0
York-Hanover, PA,49620,2017,181,120,61,0,0,0,0,93,67,46,0,0,103,1,77,0
Allentown-Bethlehem-Easton, PA-NJ,10900,2017,181,77,103,1,0,0,0,119,77,52,0,1,70,0,110,0
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,37980,2017,273,102,157,12,2,0,0,166,77,54,0,2,108,1,162,0
Adjuntas, PR,10260,2017,28,26,2,0,0,0,0,62,49,20,0,0,0,0,28,0
Coco, PR,17640,2017,164,164,0,0,0,0,0,29,14,1,0,0,0,164,0,0
Guayama, PR,25020,2017,93,90,2,1,0,0,0,147,28,3,0,0,0,71,22,0
Ponce, PR,38660,2017,175,160,15,0,0,0,0,74,48,26,6,0,0,0,18,151
San Juan-Carolina-Caguas, PR,41980,2017,181,110,56,11,1,3,0,267,88,42,2,43,69,6,61,0
Providence-Warwick, RI-MA,39300,2017,273,197,69,5,2,0,0,151,62,43,0,8,172,0,93,0
Charleston-North Charleston, SC,16700,2017,299,252,46,1,0,0,0,101,55,40,0,4,186,0,106,3
Columbia, SC,17900,2017,304,231,72,1,0,0,0,105,58,44,0,0,210,0,93,1
Florence, SC,22500,2017,305,270,35,0,0,0,0,77,51,40,0,0,220,0,85,0
Georgetown, SC,23860,2017,258,257,1,0,0,0,0,63,31,15,0,0,0,0,0,258
Greenville-Anderson-Mauldin, SC,24860,2017,312,225,87,0,0,0,0,97,58,44,0,1,233,0,78,0
Greenwood, SC,24940,2017,9,9,0,0,0,0,0,33,33,25,0,0,9,0,0,0
Seneca, SC,42860,2017,303,275,28,0,0,0,0,84,50,39,0,0,249,4,50,0
Spartanburg, SC,43900,2017,300,235,64,1,0,0,0,108,58,43,0,0,172,0,128,0
Walterboro, SC,47500,2017,296,251,45,0,0,0,0,82,54,38,0,0,160,0,136,0
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,34820,2017,296,276,17,3,0,0,0,117,49,35,0,0,267,29,0,0
Aberdeen, SD,10100,2017,61,58,3,0,0,0,0,58,44,20,0,0,0,0,52,9
Brookings, SD,15100,2017,181,155,26,0,0,0,0,90,58,38,0,0,152,0,23,6
Pierre, SD,38180,2017,173,170,3,0,0,0,0,56,30,13,0,0,0,0,173,0
Rapid City, SD,39660,2017,181,148,32,1,0,0,0,107,54,44,0,0,132,0,31,18
Sioux Falls, SD,43620,2017,181,148,33,0,0,0,0,97,66,39,0,0,123,0,55,3
Watertown, SD,47980,2017,181,159,22,0,0,0,0,80,52,30,0,0,0,0,154,27
Athens, TN,11940,2017,56,52,4,0,0,0,0,63,48,28,0,0,0,0,56,0
Cookeville, TN,18260,2017,60,59,1,0,0,0,0,53,40,23,0,0,0,0,60,0
Dyersburg, TN,20540,2017,48,48,0,0,0,0,0,48,38,29,0,0,0,0,48,0
Jackson, TN,27180,2017,109,103,6,0,0,0,0,55,43,23,0,0,0,0,109,0
Knoxville, TN,28940,2017,273,192,80,1,0,0,0,105,64,45,0,0,201,0,72,0
Lawrenceburg, TN,29980,2017,120,110,10,0,0,0,0,81,48,25,0,0,0,0,120,0
Morristown, TN,34100,2017,118,92,26,0,0,0,0,100,71,44,0,0,118,0,0,0
Nashville-Davidson--Murfreesboro--Franklin, TN,34980,2017,181,129,52,0,0,0,0,100,62,44,0,17,81,2,81,0
Sevierville, TN,42940,2017,242,193,49,0,0,0,0,90,64,44,0,0,242,0,0,0
Chattanooga, TN-GA,16860,2017,270,176,92,2,0,0,0,108,64,45,0,0,134,0,136,0
Clarksville, TN-KY,17300,2017,234,203,31,0,0,0,0,87,53,42,0,0,203,0,31,0
Memphis, TN-MS-AR,32820,2017,273,183,86,3,1,0,0,161,67,44,0,1,174,0,98,0
Kingsport-Bristol-Bristol, TN-VA,28700,2017,208,122,76,10,0,0,0,141,85,47,0,0,70,100,38,0
Amarillo, TX,11100,2017,242,153,83,6,0,0,0,118,79,47,0,0,204,28,10,0
Austin-Round Rock, TX,12420,2017,212,155,54,3,0,0,0,130,66,42,0,8,135,0,69,0
Beaumont-Port Arthur, TX,13140,2017,212,132,73,7,0,0,0,121,84,45,0,0,101,51,60,0
Big Spring, TX,13700,2017,207,160,42,5,0,0,0,111,69,17,0,0,0,207,0,0
Borger, TX,14420,2017,198,117,28,37,16,0,0,193,143,23,0,0,0,198,0,0
Brownsville-Harlingen, TX,15180,2017,212,168,44,0,0,0,0,87,61,38,0,0,136,0,76,0
College Station-Bryan, TX,17780,2017,212,212,0,0,0,0,0,20,7,0,0,0,0,212,0,0
Corpus Christi, TX,18580,2017,212,151,61,0,0,0,0,97,64,43,0,0,107,0,105,0
Corsicana, TX,18620,2017,212,165,46,1,0,0,0,121,64,41,0,0,138,21,53,0
